Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
MSB,361.06M,13.66%,164.20%,242.70%,316.00%,9.90,9.90,0.00,0.00,-,97.50%,97.30%,Nov 08/a,27.33,-0.71%
MBT,8.41B,13.43%,-,-,18.20%,0.90,0.80,3.58,4.28,63.30%,-,-,Nov 20/b,8.24,0.67%
MNDO,43.88M,13.39%,20.30%,27.20%,23.70%,4.10,4.10,0.00,0.00,64.10%,28.30%,28.30%,Nov 05/b,2.26,0.90%
EEP,3.50B,13.06%,1.40%,13.00%,12.90%,0.30,-,4.66,5.07,88.10%,43.20%,9.00%,Nov 01/a,10.63,-0.84%
EEQ,1.06B,13.04%,-,-,-,-,-,0.00,0.00,-,-,-,Aug 30,10.64,-0.93%
CVRR,2.91B,13.00%,17.40%,30.40%,11.40%,1.90,1.20,0.37,0.37,7.90%,6.60%,6.20%,Oct 24/a,18.14,-6.45%
KCAP,114.85M,12.94%,-,-,-,-,-,-,-,-,-,-,Nov 06/a,3.10,0.32%
NYMT,864.54M,12.84%,0.80%,14.10%,0.80%,-,-,14.52,14.52,30.30%,24.00%,19.40%,Nov 05/a,6.27,0.64%
ANH,430.90M,12.79%,0.60%,5.70%,1.10%,-,-,0.07,7.70,37.10%,25.80%,20.10%,Nov 08/a,4.37,-0.23%
USDP,301.39M,12.68%,7.20%,27.30%,11.30%,2.40,2.20,2.65,2.65,62.10%,24.50%,18.90%,Nov 07/a,11.10,-0.89%
GPP,477.52M,12.63%,61.90%,-90.80%,88.00%,1.20,1.20,-,-,-,60.20%,54.40%,Nov 07/b,14.88,-1.06%
CNSL,911.56M,12.56%,1.30%,9.20%,1.70%,0.80,0.80,4.54,4.60,57.30%,0.90%,3.40%,Nov 01/b,12.49,1.22%
EUFL,-,12.55%,-,-,-,-,-,-,-,-,-,-,-,29.74,1.13%
